
   VERDE SV 1 -> vrm: 0  ama: 5  vrd: 8,   VERMELHO SV 2 -> vrm: 13  ama: 5  vrd: 8,   VERMELHO SV 3 -> vrm: 150  ama: 5  vrd: 8,   VERMELHO SV 4 -> vrm: 150  ama: 5  vrd: 8
   VERDE SV 1 -> vrm: 0  ama: 5  vrd: 7,   VERMELHO SV 2 -> vrm: 12  ama: 5  vrd: 8,   VERMELHO SV 3 -> vrm: 149  ama: 5  vrd: 8,   VERMELHO SV 4 -> vrm: 149  ama: 5  vrd: 8
   VERDE SV 1 -> vrm: 0  ama: 5  vrd: 6,   VERMELHO SV 2 -> vrm: 11  ama: 5  vrd: 8,   VERMELHO SV 3 -> vrm: 148  ama: 5  vrd: 8,   VERMELHO SV 4 -> vrm: 148  ama: 5  vrd: 8
   VERDE SV 1 -> vrm: 0  ama: 5  vrd: 5,   VERMELHO SV 2 -> vrm: 10  ama: 5  vrd: 8,   VERMELHO SV 3 -> vrm: 147  ama: 5  vrd: 8,   VERMELHO SV 4 -> vrm: 147  ama: 5  vrd: 8
   VERDE SV 1 -> vrm: 0  ama: 5  vrd: 4,   VERMELHO SV 2 -> vrm: 9  ama: 5  vrd: 8,   VERMELHO SV 3 -> vrm: 146  ama: 5  vrd: 8,   VERMELHO SV 4 -> vrm: 146  ama: 5  vrd: 8
   VERDE SV 1 -> vrm: 0  ama: 5  vrd: 3,   VERMELHO SV 2 -> vrm: 8  ama: 5  vrd: 8,   VERMELHO SV 3 -> vrm: 145  ama: 5  vrd: 8,   VERMELHO SV 4 -> vrm: 145  ama: 5  vrd: 8
   VERDE SV 1 -> vrm: 0  ama: 5  vrd: 2,   VERMELHO SV 2 -> vrm: 7  ama: 5  vrd: 8,   VERMELHO SV 3 -> vrm: 144  ama: 5  vrd: 8,   VERMELHO SV 4 -> vrm: 144  ama: 5  vrd: 8
   VERDE SV 1 -> vrm: 0  ama: 5  vrd: 1,   VERMELHO SV 2 -> vrm: 6  ama: 5  vrd: 8,   VERMELHO SV 3 -> vrm: 143  ama: 5  vrd: 8,   VERMELHO SV 4 -> vrm: 143  ama: 5  vrd: 8
   AMARELO SV 1 -> vrm: 0  ama: 5  vrd: 0,   VERMELHO SV 2 -> vrm: 5  ama: 5  vrd: 8,   VERMELHO SV 3 -> vrm: 142  ama: 5  vrd: 8,   VERMELHO SV 4 -> vrm: 142  ama: 5  vrd: 8
   AMARELO SV 1 -> vrm: 0  ama: 4  vrd: 0,   VERMELHO SV 2 -> vrm: 4  ama: 5  vrd: 8,   VERMELHO SV 3 -> vrm: 141  ama: 5  vrd: 8,   VERMELHO SV 4 -> vrm: 141  ama: 5  vrd: 8
   AMARELO SV 1 -> vrm: 0  ama: 3  vrd: 0,   VERMELHO SV 2 -> vrm: 3  ama: 5  vrd: 8,   VERMELHO SV 3 -> vrm: 140  ama: 5  vrd: 8,   VERMELHO SV 4 -> vrm: 140  ama: 5  vrd: 8
   AMARELO SV 1 -> vrm: 0  ama: 2  vrd: 0,   VERMELHO SV 2 -> vrm: 2  ama: 5  vrd: 8,   VERMELHO SV 3 -> vrm: 139  ama: 5  vrd: 8,   VERMELHO SV 4 -> vrm: 139  ama: 5  vrd: 8
   AMARELO SV 1 -> vrm: 0  ama: 1  vrd: 0,   VERMELHO SV 2 -> vrm: 1  ama: 5  vrd: 8,   VERMELHO SV 3 -> vrm: 138  ama: 5  vrd: 8,   VERMELHO SV 4 -> vrm: 138  ama: 5  vrd: 8
